IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
GUSTAW,MĘŻCZYZNA,3664
OLAF,MĘŻCZYZNA,3591
KLAUDIUSZ,MĘŻCZYZNA,3472
BRUNON,MĘŻCZYZNA,3344
LEOPOLD,MĘŻCZYZNA,3323
ROCH,MĘŻCZYZNA,3231
MICHAEL,MĘŻCZYZNA,3139
GRACJAN,MĘŻCZYZNA,3137
MARCELI,MĘŻCZYZNA,3112
KLEMENS,MĘŻCZYZNA,3038
DAVID,MĘŻCZYZNA,2874
IZYDOR,MĘŻCZYZNA,2828
ALBIN,MĘŻCZYZNA,2773
BORYS,MĘŻCZYZNA,2729
TOBIASZ,MĘŻCZYZNA,2641
JOHN,MĘŻCZYZNA,2584
NATAN,MĘŻCZYZNA,2420
WALERIAN,MĘŻCZYZNA,2414
SAMUEL,MĘŻCZYZNA,2414
BENIAMIN,MĘŻCZYZNA,2402
ALFONS,MĘŻCZYZNA,2378
KORNEL,MĘŻCZYZNA,2374
BRUNO,MĘŻCZYZNA,2358
ADOLF,MĘŻCZYZNA,2345
JĘDRZEJ,MĘŻCZYZNA,2249
PAUL,MĘŻCZYZNA,2230
PETER,MĘŻCZYZNA,2197
BOHDAN,MĘŻCZYZNA,2087
AMADEUSZ,MĘŻCZYZNA,2087
MARTIN,MĘŻCZYZNA,2067
JAMES,MĘŻCZYZNA,2034
SERGIUSZ,MĘŻCZYZNA,2007
ZYGFRYD,MĘŻCZYZNA,1995
JOSEPH,MĘŻCZYZNA,1993
OLGIERD,MĘŻCZYZNA,1992
KUBA,MĘŻCZYZNA,1981
ALEKSY,MĘŻCZYZNA,1970
AUGUST,MĘŻCZYZNA,1840
TYMON,MĘŻCZYZNA,1822
THOMAS,MĘŻCZYZNA,1815
MAURYCY,MĘŻCZYZNA,1814
ERWIN,MĘŻCZYZNA,1788
IWO,MĘŻCZYZNA,1707
ROLAND,MĘŻCZYZNA,1695
MIESZKO,MĘŻCZYZNA,1678
WALTER,MĘŻCZYZNA,1631
ARIEL,MĘŻCZYZNA,1554
KUMAR,MĘŻCZYZNA,1508
EMILIAN,MĘŻCZYZNA,1471
FERDYNAND,MĘŻCZYZNA,1397
ŁUCJAN,MĘŻCZYZNA,1394
ARNOLD,MĘŻCZYZNA,1388
HERBERT,MĘŻCZYZNA,1378
